Schulnummer;Anzahl;
"119880";"130";
"119891";"168";
"119908";"186";
"119910";"268";
"119921";"400";
"119945";"289";
"119957";"470";
"119969";"230";
"119970";"195";
"120017";"253";
"120029";"290";
"120030";"244";
"120042";"262";
"120054";"348";
"120066";"205";
"120169";"203";
"120170";"308";
"120182";"176";
"120194";"202";
"120200";"291";
"120224";"199";
"120236";"227";
"120248";"351";
"120250";"222";
"120261";"239";
"120273";"178";
"120285";"227";
"120297";"221";
"120315";"293";
"120327";"421";
"120364";"179";
"120376";"217";
"120388";"196";
"120390";"181";
"120418";"280";
"120420";"133";
"120431";"194";
"120443";"285";
"120455";"196";
"120467";"202";
"120480";"284";
"120492";"265";
"120509";"178";
"120510";"269";
"120522";"151";
"120546";"216";
"120558";"323";
"120560";"219";
"120571";"213";
"120583";"231";
"120595";"304";
"120625";"47";
"120662";"291";
"120674";"190";
"120686";"122";
"120698";"293";
"120704";"123";
"120716";"241";
"120728";"144";
"120765";"182";
"120777";"431";
"120790";"186";
"120807";"198";
"120819";"168";
"120832";"267";
"120844";"188";
"120856";"103";
"120868";"335";
"120870";"145";
"120881";"134";
"120893";"182";
"120923";"280";
"120935";"374";
"120947";"173";
"120959";"258";
"120960";"190";
"120972";"233";
"120984";"270";
"120996";"267";
"121009";"322";
"121010";"174";
"121022";"214";
"121034";"102";
"121046";"333";
"121095";"307";
"121113";"304";
"121149";"223";
"121150";"280";
"121162";"211";
"121174";"175";
"121186";"258";
"121198";"190";
"121216";"159";
"121241";"289";
"121253";"283";
"121265";"310";
"121289";"375";
"121290";"184";
"121307";"91";
"121320";"319";
"121332";"307";
"121368";"125";
"121393";"161";
"121400";"104";
"121411";"171";
"121423";"95";
"121435";"194";
"121459";"191";
"121460";"205";
"121472";"190";
"121484";"281";
"121496";"370";
"121502";"22";
"121526";"366";
"121538";"357";
"121551";"302";
"121563";"277";
"121575";"335";
"121587";"166";
"121599";"213";
"121605";"199";
"121629";"285";
"121630";"207";
"121654";"295";
"121680";"313";
"121691";"174";
"121708";"214";
"121721";"412";
"121733";"268";
